"miner_id","location","month_num_one_indexed","first_record_timestamp","start_height","end_height","num_power_claim_records","sealingE_upper_MWh","storageE_upper_MWh","totalE_upper_MWh","recs_to_source"
"f01045784","newYork_newYork_usa",6,"2021-06-15T06:50:00.000Z",807120,893519,3,0.007696581394432,0.0003547968545017037,0.015539160020442047,1
"f01045784","newYork_newYork_usa",7,"2021-07-21T06:51:30.000Z",893520,982799,1,0.001924145348608,0.0009009391406048871,0.005452413064180871,1
"f01045784","newYork_newYork_usa",8,"2021-08-10T06:48:30.000Z",982800,1072079,14,0.023089744183295995,0.0021738471021556533,0.04875873118092169,1
"f01051178","shanghai_china",6,"2021-06-20T03:14:00.000Z",807120,893519,27,41.288310890430466,0.49948788086884266,80.65045162860766,81
"f01051178","shanghai_china",7,"2021-07-01T06:40:30.000Z",893520,982799,23,53.94341484822528,10.014327254904913,123.43844225904127,124
"f01051178","shanghai_china",8,"2021-09-01T03:59:30.000Z",982800,1072079,0,0,10.248294142704196,19.779207695419096,20
"f01051828","sanDiego_california_usa",6,"2021-06-18T15:42:00.000Z",807120,893519,27,4.552527894806528,0.09763019473412947,8.974805112813469,9
"f01051828","sanDiego_california_usa",7,"2021-07-01T15:57:30.000Z",893520,982799,31,6.4458869178368,0.9459372581876188,14.266220659727127,15
"f01051828","sanDiego_california_usa",8,"2021-09-01T03:59:30.000Z",982800,1072079,0,0,1.1835865540520314,2.28432204932042,3
"f01175097","sanDiego_california_usa",8,"2021-08-15T20:41:30.000Z",982800,1072079,24,4.225423185543168,0.1458358983471189,8.436530031908251,9
"f01234","antwerp_belgium",9,"2020-09-01T07:20:30.000Z",20880,107279,375,0.6561335638753313,0.05188234594222081,1.3664707059478687,2
"f01234","antwerp_belgium",10,"2020-10-01T05:19:30.000Z",107280,196559,111,0.267456203456512,0.09949638439534067,0.7082184945540756,1
"f01234","antwerp_belgium",11,"2020-11-11T12:30:00.000Z",196560,283079,28,0,0.10575009033863818,0.2040976743535718,1
"f01234","antwerp_belgium",12,"2020-12-08T12:30:00.000Z",283080,372359,20,0.021165598834688,0.10954098747377711,0.25226371157533767,1
"f01234","antwerp_belgium",1,"2021-01-18T12:08:30.000Z",372360,461639,23,1.362294906814464,0.137658305955842,2.89490970064669,3
"f01234","antwerp_belgium",2,"2021-02-01T12:10:30.000Z",461640,542279,60,5.5646283481743355,0.45569639311623583,11.619226750690803,12
"f01234","antwerp_belgium",3,"2021-03-01T12:36:00.000Z",542280,631439,65,8.883779074523137,1.4107552008845765,19.86845115153689,20
"f01234","antwerp_belgium",4,"2021-04-01T12:30:00.000Z",631440,717839,61,5.3375791970385915,2.1323199320707142,14.41690531918096,15
"f01234","antwerp_belgium",5,"2021-05-01T14:03:00.000Z",717840,807119,76,10.36152270225408,2.8817582437192586,25.559532225728542,26
"f01234","antwerp_belgium",6,"2021-06-01T15:37:00.000Z",807120,893519,101,5.537690313293825,3.7080039966880527,17.844190018265028,18
"f01234","antwerp_belgium",7,"2021-07-01T12:08:00.000Z",893520,982799,95,11.50254089397862,4.74721949024527,31.36203754155211,32
"f01234","antwerp_belgium",8,"2021-08-01T17:13:00.000Z",982800,1072079,94,9.736175463956485,5.927361251346449,30.230625860534648,31
"f0127595","china",1,"2021-01-14T15:58:30.000Z",372360,461639,188,984.9122795919777,29.566523800852746,1957.9440905481608,1958
"f0127595","china",2,"2021-02-01T22:54:30.000Z",461640,542279,501,2136.3208561989945,193.3081288088084,4496.183941065076,4497
"f0127595","china",3,"2021-03-01T05:55:30.000Z",542280,631439,1025,2617.8305331067477,462.51503520477485,5945.066946841263,5946
"f0127595","china",4,"2021-04-01T04:24:30.000Z",631440,717839,697,1705.2199391340712,721.7905614145609,4684.1302660588735,4685
"f0127595","china",5,"2021-05-01T20:26:30.000Z",717840,807119,190,0,801.1112631329108,1546.1447378465195,1547
"f0127595","china",6,"2021-06-02T18:26:00.000Z",807120,893519,45,0,775.2689643221713,1496.2691011417905,1497
"f0127595","china",7,"2021-07-03T04:28:00.000Z",893520,982799,223,922.2621070413009,825.2627281687564,3372.722931955409,3373
"f0127595","china",8,"2021-08-01T08:54:30.000Z",982800,1072079,44,0.061572651155456,900.3637282149297,1737.8208306715464,1738
"f01278","grandRapids_michigan_usa",9,"2020-09-01T08:21:30.000Z",20880,107279,117,0.19433868020940792,0.013519947935546079,0.40116715231976147,1
"f01278","grandRapids_michigan_usa",10,"2020-10-01T04:38:30.000Z",107280,196559,66,0.17702137207193594,0.033865386086042185,0.4070114432448978,1
"f01278","grandRapids_michigan_usa",11,"2020-11-01T15:05:30.000Z",196560,283079,36,0.20780769764966392,0.05209933567865388,0.5016205743236534,1
"f01278","grandRapids_michigan_usa",12,"2020-12-01T15:01:00.000Z",283080,372359,28,0.19049038951219197,0.0759253811378887,0.5141824373546557,1
"f01278","grandRapids_michigan_usa",1,"2021-01-01T15:03:00.000Z",372360,461639,33,0.4791121918033922,0.1112372572336423,1.1393744366414762,2
"f01278","grandRapids_michigan_usa",2,"2021-02-05T15:02:30.000Z",461640,542279,7,0.019241453486079998,0.12501283183012085,0.2784107706602676,1
"f01278","grandRapids_michigan_usa",3,"2021-03-04T00:01:30.000Z",542280,631439,26,0.28862180229120005,0.15447500241191828,0.8551768330770181,1
"f01278","grandRapids_michigan_usa",4,"2021-04-02T15:05:00.000Z",631440,717839,32,0.3963739418132481,0.19078756766243096,1.1332217132880604,2
"f01278","grandRapids_michigan_usa",5,"2021-05-01T15:05:30.000Z",717840,807119,16,0.121221156962304,0.21861265193111123,0.6558792511642914,1
"f01278","grandRapids_michigan_usa",6,"2021-06-01T15:08:00.000Z",807120,893519,43,0.4002222325104641,0.23913712940111373,1.233963568489345,2
"f01278","grandRapids_michigan_usa",7,"2021-07-02T15:07:00.000Z",893520,982799,20,0.08081410464153597,0.2747249490710967,0.6861903736653812,1
"f01278","grandRapids_michigan_usa",8,"2021-08-01T15:08:30.000Z",982800,1072079,29,0.217428424392704,0.28920461603886854,0.9778017680329352,1
"f0128559","china",1,"2021-01-14T08:02:00.000Z",372360,461639,130,682.8291564419155,19.51675739227583,1355.527613699988,1356
"f0128559","china",2,"2021-02-01T21:57:30.000Z",461640,542279,392,1405.9807028092596,131.66177643649067,2967.6499849442957,2968
"f0128559","china",3,"2021-03-01T05:29:00.000Z",542280,631439,606,1629.5394542826252,314.17435108475377,3751.367644359047,3752
"f0128559","china",4,"2021-04-01T04:29:30.000Z",631440,717839,375,1430.1441200970764,465.11122489198254,3657.8428158288903,3658
"f0128559","china",5,"2021-05-01T20:29:30.000Z",717840,807119,103,0,554.0514433648776,1069.319285694214,1070
"f0128559","china",6,"2021-06-01T09:59:00.000Z",807120,893519,24,0,536.1788161595592,1034.8251151879492,1035
"f0128559","china",7,"2021-07-07T02:58:30.000Z",893520,982799,15,0,554.0514433648779,1069.3192856942144,1070
"f0128559","china",8,"2021-08-04T17:28:30.000Z",982800,1072079,20,0,554.0514433648779,1069.319285694214,1070
"f014365","sydney_australia",9,"2020-09-01T04:44:00.000Z",20880,107279,496,0.8100651917639742,0.04726837957103715,1.6546537926765605,2
"f014365","sydney_australia",10,"2020-10-01T06:57:30.000Z",107280,196559,133,0.4117671046021119,0.11364212109182241,1.0140398055892936,2
"f014365","sydney_australia",11,"2020-11-01T20:31:00.000Z",196560,283079,39,0.20395940695244796,0.1382061552337473,0.6603795350193569,1
"f014365","sydney_australia",12,"2020-12-01T20:37:30.000Z",283080,372359,13,0,0.15488501442108457,0.2989280778326932,1
"f014365","sydney_australia",1,"2021-02-01T04:59:30.000Z",372360,461639,0,0,0.15488501442108457,0.29892807783269315,1
"f014365","sydney_australia",2,"2021-02-16T20:51:00.000Z",461640,542279,6,0,0.1398961420577538,0.2699995541714649,1
"f014365","sydney_australia",3,"2021-03-04T00:01:30.000Z",542280,631439,13,0,0.15467683563826054,0.2985262927818429,1
"f014365","sydney_australia",4,"2021-04-13T20:51:00.000Z",631440,717839,9,0,0.14988872363330763,0.2892852366122837,1
"f014365","sydney_australia",5,"2021-05-02T20:24:00.000Z",717840,807119,20,0,0.15488501442108454,0.2989280778326932,1
"f014365","sydney_australia",6,"2021-06-03T21:51:00.000Z",807120,893519,9,0,0.1498887236333076,0.28928523661228367,1
"f014365","sydney_australia",7,"2021-07-02T20:30:30.000Z",893520,982799,21,0,0.15488501442108452,0.29892807783269315,1
"f014365","sydney_australia",8,"2021-08-15T20:51:00.000Z",982800,1072079,6,0,0.15488501442108457,0.2989280778326932,1
"f019104","montreal_qc_canada",9,"2020-09-09T12:03:30.000Z",20880,107279,134,0.21742842439270393,0.009001774882844836,0.43701028460180913,1
"f019104","montreal_qc_canada",10,"2020-10-01T06:51:30.000Z",107280,196559,55,0.16355235463167994,0.03211882964648461,0.3776453856568576,1
"f019104","montreal_qc_canada",11,"2020-11-02T13:50:00.000Z",196560,283079,35,0.41369124995072004,0.057939121622042546,0.9102466171354316,1
"f019104","montreal_qc_canada",12,"2020-12-01T13:50:00.000Z",283080,372359,29,0.15777991858585594,0.09748020210664735,0.49265203293653137,1
"f019104","montreal_qc_canada",1,"2021-01-02T13:50:00.000Z",372360,461639,29,0.7157820696821762,0.1342866028686528,1.6406325380230993,2
"f019104","montreal_qc_canada",2,"2021-02-03T14:50:30.000Z",461640,542279,6,0.009620726743039999,0.1622866978634151,0.3317813294904583,1
"f019104","montreal_qc_canada",3,"2021-03-02T13:50:00.000Z",542280,631439,15,0.12506944765952,0.18621255595742725,0.6007742669807082,1
"f019104","montreal_qc_canada",4,"2021-05-01T03:59:30.000Z",631440,717839,0,0.009620726743039999,0.1887635949043581,0.38288174077947834,1
"f019104","montreal_qc_canada",5,"2021-05-11T13:54:30.000Z",717840,807119,11,0.20780769764966397,0.20856119305407825,0.8035919590582224,1
"f019104","montreal_qc_canada",6,"2021-06-20T14:17:00.000Z",807120,893519,2,0.02886218022912,0.21136425913575013,0.4636370279741993,1
"f019104","montreal_qc_canada",7,"2021-07-23T13:53:30.000Z",893520,982799,17,0.7100096336363519,0.2311348631583169,1.816408878813711,2
"f019104","montreal_qc_canada",8,"2021-08-01T13:50:30.000Z",982800,1072079,23,0.3078632557772802,0.3250177029639556,1.221460250370585,2
"f022142","newYork_newYork_usa",9,"2020-09-25T02:41:30.000Z",20880,107279,24,0.04040705232076799,0.00046512511540789243,0.07888330245181946,1
"f022142","newYork_newYork_usa",10,"2020-10-01T07:53:30.000Z",107280,196559,60,0.15393162788863995,0.011851349533277556,0.31996114642430085,1
"f022142","newYork_newYork_usa",11,"2020-11-02T02:40:30.000Z",196560,283079,43,0.12122115696230396,0.02726217125197775,0.2865728234535637,1
"f022142","newYork_newYork_usa",12,"2020-12-02T02:13:30.000Z",283080,372359,67,0.16355235463167994,0.04291743373288538,0.39848669154361116,1
"f022142","newYork_newYork_usa",1,"2021-01-02T02:18:30.000Z",372360,461639,38,0.21550427904409591,0.0625637706076835,0.5366713358279345,1
"f022142","newYork_newYork_usa",2,"2021-02-02T02:32:30.000Z",461640,542279,29,0.18664209881497593,0.07655709102663795,0.5079744363943149,1
"f022142","newYork_newYork_usa",3,"2021-03-02T02:20:30.000Z",542280,631439,43,0.17317308137471996,0.10348325624963138,0.5339467316149981,1
"f022142","newYork_newYork_usa",4,"2021-04-02T02:34:30.000Z",631440,717839,48,0.11544872091647995,0.11702779553582679,0.44867967675295223,1
"f022142","newYork_newYork_usa",5,"2021-05-02T02:25:00.000Z",717840,807119,60,3.5231101333012487,0.30378387299031323,7.385905432142712,8
"f022142","newYork_newYork_usa",6,"2021-06-02T02:24:00.000Z",807120,893519,82,3.163294953111553,0.6571711465414618,7.373499572330316,8
"f022142","newYork_newYork_usa",7,"2021-07-02T03:29:30.000Z",893520,982799,71,3.573137912365057,1.0111695092420758,8.847713323701766,9
"f022142","newYork_newYork_usa",8,"2021-08-02T02:59:00.000Z",982800,1072079,56,3.0959498659102733,1.4166825977183524,8.709380654803246,9
"f02576","copenhagen_denmark",9,"2020-09-01T04:24:00.000Z",20880,107279,527,0.9081966045429852,0.08804464952849991,1.9227456203579494,2
"f02576","copenhagen_denmark",10,"2020-10-01T04:14:00.000Z",107280,196559,453,1.323811999842312,0.24287359066045416,3.0237031896703224,4
"f02576","copenhagen_denmark",11,"2020-11-02T03:59:30.000Z",196560,283079,42,1.0890662673121279,0.32924082851379427,2.7373326949440298,3
"f02576","copenhagen_denmark",12,"2020-12-02T04:01:00.000Z",283080,372359,56,1.0255694708080643,0.4595689034776314,2.866317062371392,3
"f02576","copenhagen_denmark",1,"2021-01-02T04:59:00.000Z",372360,461639,46,1.167956226605056,0.5862820568538653,3.385679887075718,4
"f02576","copenhagen_denmark",2,"2021-02-04T04:59:30.000Z",461640,542279,50,0.6734508720128004,0.6167082742487345,2.4900071522847624,3
"f02576","copenhagen_denmark",3,"2021-03-02T04:59:30.000Z",542280,631439,55,1.3699914882088962,0.8075104417934948,4.202578724904614,5
"f02576","copenhagen_denmark",4,"2021-04-01T04:29:30.000Z",631440,717839,51,0.9793899824414721,0.9044117417509886,3.635737327691449,4
"f02576","copenhagen_denmark",5,"2021-05-01T04:59:30.000Z",717840,807119,22,0.28477351159398395,0.9885790544915437,2.4575704525450686,3
"f02576","copenhagen_denmark",6,"2021-06-01T04:29:30.000Z",807120,893519,43,1.0390384882483201,1.008387824624295,3.951532783844146,4
"f02576","copenhagen_denmark",7,"2021-07-01T04:29:30.000Z",893520,982799,10,0.08081410464153599,1.1195173071268871,2.3166396247130563,3
"f02576","copenhagen_denmark",8,"2021-08-02T04:29:30.000Z",982800,1072079,35,0.48103633715199995,1.1398378988056765,3.1282872753983164,4
"f02770","china",9,"2020-09-01T04:00:00.000Z",20880,107279,38910,981.8336470340519,46.146391924390876,1984.0014751899882,1985
"f02770","china",10,"2020-10-01T04:00:00.000Z",107280,196559,20171,1649.00218448374,242.3137009488805,3650.2396588850384,3651
"f02770","china",11,"2020-11-01T04:24:00.000Z",196560,283079,460,1418.0662597438647,371.778611475575,3454.4006014535253,3455
"f02770","china",12,"2020-12-01T11:52:30.000Z",283080,372359,427,336.51185587270464,486.979214171645,1589.3377651855947,1590
"f02770","china",1,"2021-01-01T06:22:00.000Z",372360,461639,146,0,492.8155408451235,951.133993831088,952
