"0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"minerID","start","end","total_energy_records_found","totalSealed_GiB","sealingEnergy_upper_MWh","datapointAverageCapacity_GiB","difference_totalperiod_hours","datapointAvgStorageTime_GiB_hours","datapointAvg_Storage_energy_MWh","integrated_GiB_hr","storage_upper_integrated_MWh","total_energy_upper_MWh_recalc","REC_purchase_with_margin"
0,0,,,,,,,,,,,,
"f0130639","2021-01-01","2021-04-01",1720,62272,3.744386848391168,32570.982578397212,2160,70353322.36933798,0.611884567951035,91933505.06666662,0.7995740802776664,8.76984459233085,18
"f0130639","2021-04-01","2021-07-01",33,960,0.05772436045824,62820.57142857143,2184,137200128,1.1932718771032031,138094569.06666666,1.2010511072405068,2.4294366526585813,5
"f0130639","2021-07-01","2021-10-01",8951,15889984,955.4574625954857,3126791.2413716074,2208,6903955060.948509,60.04582892965075,17011307722.133326,147.95259591572866,2129.5814129266437,4260
"f0130639","2021-10-01","2022-01-01",4,0,0,15953216,2208,35224700928,306.3601004567102,35224700928,306.3601004567102,591.2749938814507,1183
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
"f01147989","2021-07-01","2021-10-01",102914,14516480,872.8692959425331,6796122.964437016,2208,15005839505.476933,130.51041959822268,8957965810.93325,77.91019464820496,1835.0044168401243,3671
"f01147989","2021-10-01","2022-01-01",13903,1436384,86.36911226296729,15245939.011290902,2208,33663033336.930313,292.7777952142037,35082315137.33334,305.12172727019527,755.5773202990038,1512
0,0,,,,,,,,,,,,
"f0143361","2021-01-01","2021-04-01",127348,15901120,956.1270651768012,7489533.239984295,2160,16177391798.366077,140.69977163483586,12156535331.733477,105.72914140698917,2049.3824787067156,4099
"f0143361","2021-04-01","2021-07-01",27,0,0,15901120,2184,34728046080,302.0405398893515,34728046080,302.0405398893515,582.9382419864484,1166
"f0143361","2021-07-01","2021-10-01",22,0,0,15901120,2208,35109672960,305.35966670132245,35109672960,305.35966670132245,589.3441567335523,1179
"f0143361","2021-10-01","2022-01-01",20,0,0,15901120,2208,35109672960,305.35966670132245,35109672960,305.35966670132245,589.3441567335523,1179
0,0,,,,,,,,,,,,
"f0157991","2021-01-01","2021-04-01",35961,2700032,162.3516879341486,1195509.696076523,2160,2582300943.52529,22.459068654263902,1102624753.0666625,9.589867939717317,331.8472028365612,664
"f0157991","2021-04-01","2021-07-01",106398,9657536,580.7032179191972,7970497.503759398,2184,17407566548.210526,151.3989812807033,17864434765.333332,155.37250523422998,1420.6261456861143,2842
"f0157991","2021-07-01","2021-10-01",31389,3515008,211.35582167249714,13834731.030932432,2208,30547086116.29881,265.677440111638,31938980634.666344,277.78317651927523,944.0382665101206,1889
"f0157991","2021-10-01","2022-01-01",150,0,0,15872576,2208,35046647808,304.8115174938249,35046647808.00001,304.81151749382497,588.2862287630821,1177
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
"f01209022","2021-07-01","2021-10-01",50989,11587904,696.7753619286261,5678285.103745832,2208,12537653509.070797,109.04384387482838,5481649184.533338,47.675595550824404,1436.7903479353395,2874
"f01209022","2021-10-01","2022-01-01",22357,4254144,255.79973093464474,13823108.278021289,2208,30521423077.871006,265.45424074234217,34564885688.26668,300.6214835826948,1073.8929440184652,2148
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
"f01190147","2021-10-01","2022-01-01",91141,15810048,950.6509475146629,8329218.805613157,2208,18390915122.79385,159.9514674667206,25147405231.73324,218.71474817534596,2256.875792681717,4514
0,0,,,,,,,,,,,,
