"minerID","location_code","location","start","end","REC_purchase"
"f09037","[""AS-SG""]","Asia - Singapore","2020-06-01","2021-01-01",10069
"f09037","[""AS-SG""]","Asia - Singapore","2021-01-01","2021-04-01",4394
"f09037","[""AS-SG""]","Asia - Singapore","2021-04-01","2021-07-01",6152
"f09037","[""AS-SG""]","Asia - Singapore","2021-07-01","2021-10-01",6558
"f09037","[""AS-SG""]","Asia - Singapore","2021-10-01","2022-01-01",4573
"f09652","[""AS-SG""]","Asia - Singapore","2020-06-01","2021-01-01",13049
"f09652","[""AS-SG""]","Asia - Singapore","2021-01-01","2021-04-01",7179
"f09652","[""AS-SG""]","Asia - Singapore","2021-04-01","2021-07-01",4416
"f09652","[""AS-SG""]","Asia - Singapore","2021-07-01","2021-10-01",4465
"f09652","[""AS-SG""]","Asia - Singapore","2021-10-01","2022-01-01",4465
"f01135819","[""AS-SG""]","Asia - Singapore","2021-07-01","2021-10-01",13962
"f01135819","[""AS-SG""]","Asia - Singapore","2021-10-01","2022-01-01",4656
"f01235","[""AS-SG""]","Asia - Singapore","2020-06-01","2021-01-01",9123
"f01235","[""AS-SG""]","Asia - Singapore","2021-01-01","2021-04-01",3568
"f01235","[""AS-SG""]","Asia - Singapore","2021-04-01","2021-07-01",4511
"f01235","[""AS-SG""]","Asia - Singapore","2021-07-01","2021-10-01",6284
"f01235","[""AS-SG""]","Asia - Singapore","2021-10-01","2022-01-01",3965
"f0440919","[""AS-CN-NORTH-NM""]","Asia - Mainland China - North - Inner Mongolia","2021-01-01","2021-04-01",1
"f0440919","[""AS-CN-NORTH-NM""]","Asia - Mainland China - North - Inner Mongolia","2021-04-01","2021-07-01",10
"f0440919","[""AS-CN-NORTH-NM""]","Asia - Mainland China - North - Inner Mongolia","2021-07-01","2021-10-01",8340
"f0440919","[""AS-CN-NORTH-NM""]","Asia - Mainland China - North - Inner Mongolia","2021-10-01","2022-01-01",9497
"f01238519","[""NA-CA""]","North America - Canada","2021-07-01","2021-10-01",3050
"f01238519","[""NA-CA""]","North America - Canada","2021-10-01","2022-01-01",11035
"f0227531","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-01-01","2021-04-01",13
"f0227531","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-04-01","2021-07-01",582
"f0227531","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-07-01","2021-10-01",450
"f0227531","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-10-01","2022-01-01",236
"f0490501","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-07-01","2021-10-01",892
"f0490501","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-10-01","2022-01-01",236
"f0417826","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-07-01","2021-10-01",814
"f0417826","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-10-01","2022-01-01",236
"f0232459","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-01-01","2021-04-01",791
"f0232459","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-04-01","2021-07-01",233
"f0232459","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-07-01","2021-10-01",235
"f0232459","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-10-01","2022-01-01",235
"f0227472","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-04-01","2021-07-01",847
"f0227472","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-10-01","2022-01-01",235
"f01423546","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-10-01","2022-01-01",1103
"f0864910","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",72
"f0864910","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",567
"f0864910","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",392
"f0750779","[""AS-CN-SOUTHWEST-SC""]","Asia - Mainland China - Southwest - Sichuan","2021-04-01","2021-07-01",310
"f0750779","[""AS-CN-SOUTHWEST-SC""]","Asia - Mainland China - Southwest - Sichuan","2021-07-01","2021-10-01",600
"f0759826","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",467
"f0759826","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",492
"f0759826","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",228
"f01115166","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",819
"f01115166","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",403
"f0241764","[""AS-CN-SOUTHWEST-SC""]","Asia - Mainland China - Southwest - Sichuan","2021-01-01","2021-04-01",105
"f0241764","[""AS-CN-SOUTHWEST-SC""]","Asia - Mainland China - Southwest - Sichuan","2021-04-01","2021-07-01",251
"f0241764","[""AS-CN-SOUTHWEST-SC""]","Asia - Mainland China - Southwest - Sichuan","2021-07-01","2021-10-01",340
"f0241764","[""AS-CN-SOUTHWEST-SC""]","Asia - Mainland China - Southwest - Sichuan","2021-10-01","2022-01-01",686
"f02399","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2020-06-01","2021-01-01",994
"f02399","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-01-01","2021-04-01",221
"f02399","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-04-01","2021-07-01",223
"f02399","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-07-01","2021-10-01",226
"f02399","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-10-01","2022-01-01",226
"f0469168","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-04-01","2021-07-01",4590
"f0469168","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-07-01","2021-10-01",3820
"f0469168","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-10-01","2022-01-01",1977
"f0427989","[""AS-CN-SOUTHWEST-CQ""]","Asia - Mainland China - Southwest - Chongqing","2021-01-01","2021-04-01",147
"f0427989","[""AS-CN-SOUTHWEST-CQ""]","Asia - Mainland China - Southwest - Chongqing","2021-04-01","2021-07-01",1947
"f0427989","[""AS-CN-SOUTHWEST-CQ""]","Asia - Mainland China - Southwest - Chongqing","2021-07-01","2021-10-01",3292
"f0427989","[""AS-CN-SOUTHWEST-CQ""]","Asia - Mainland China - Southwest - Chongqing","2021-10-01","2022-01-01",3677
"f0102641","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2020-06-01","2021-01-01",52
"f0102641","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-01-01","2021-04-01",545
"f0102641","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-04-01","2021-07-01",385
"f0102641","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-07-01","2021-10-01",223
"f0102641","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-10-01","2022-01-01",223
